alpha,seed,v_orbit,tau_var,eta_var
4.15,0,0.0,0.0,0.006172839506172829
4.15,2,0.0,0.0,0.0
4.15,3,0.0,0.0,0.006172839506172836
4.15,5,0.0,0.0,0.0
4.15,4,0.227081042219176,0.3733333333333333,5.214183950617284
4.15,6,0.0,0.0,0.0
4.15,7,0.0,0.0,0.0
4.15,8,0.0,0.0,0.0
4.15,10,0.0,0.0,0.0
4.15,9,0.0,0.0,0.0
4.15,11,0.0,0.0,0.0
4.15,12,0.0,0.0,4.930380657631324e-32
4.15,13,0.0,0.0,0.0
4.15,14,0.0,0.0,0.0
4.15,15,0.0,0.0,4.930380657631324e-32
4.15,17,0.0,0.0,0.0
4.15,16,0.0,0.0,0.0
4.15,18,0.0,0.0,0.0
4.15,19,0.0,0.0,0.0
4.15,21,0.0,0.0,0.0
4.15,22,0.0,0.0,0.0
4.15,20,0.0005158351726081096,0.13888888888888887,0.19274691358024698
4.15,23,0.0,0.0,0.0
4.15,24,0.7444876550971291,0.3733333333333333,4.9355061728395055
4.15,25,0.0,0.0,0.0
4.15,27,0.0,0.0,0.0
4.15,26,0.0,0.0,0.0
4.15,28,0.0,0.0,0.0
4.15,29,0.0,0.0,0.0
4.15,30,0.0,0.0,0.0
4.15,31,0.0,0.0,0.0
4.15,32,0.0,0.0,0.0
4.15,33,0.0,0.0,0.0
4.15,35,0.0,0.0,0.0
4.15,34,0.0,0.0,0.0
4.15,36,0.0,0.0,0.0
4.15,37,0.0,0.0,0.0
4.15,38,0.0,0.0,0.00617283950617284
4.15,39,0.0,0.0,0.0
4.15,40,0.0,0.0,0.0
4.15,41,0.0,0.0,0.0
4.15,42,0.21897733871607333,0.7875,0.2991233196159122
4.15,43,0.0,0.0,0.0
4.15,45,0.0,0.0,0.0
4.15,44,0.0,0.0,0.0
4.15,47,0.0,0.0,0.0
4.15,46,0.0,0.0,0.006172839506172844
4.15,48,0.0048367594460704015,0.7875,0.006892283950617285
4.15,49,0.0,0.0,0.0
4.2,0,0.05146131476212072,0.3733333333333333,0.9163902177640608
4.2,2,0.0,0.0,0.0
4.2,1,0.0,0.0,0.0
4.2,3,0.0,0.0,0.006172839506172836
4.2,5,0.0,0.0,0.0
4.2,4,0.03713944694015597,0.3733333333333333,2.3656172753772298
4.2,6,0.0,0.0,0.005208333333333338
4.2,7,0.0,0.0,0.0
4.2,8,0.0,0.0,0.0
4.2,9,0.0,0.0,0.0
4.2,11,0.0,0.0,0.0
4.2,10,0.0,0.0,0.0
4.2,13,0.0,0.0,0.0
4.2,14,0.0,0.0,0.0
4.2,12,0.0,0.0,4.930380657631324e-32
4.2,15,0.0,0.0,4.930380657631324e-32
4.2,16,0.0,0.0,0.0
4.2,17,0.0,0.0,0.0
4.2,18,0.0,0.0,0.0
4.2,19,0.0,0.0,0.0
4.2,20,0.0,0.0,0.006172839506172836
4.2,21,0.0,0.0,0.0
4.2,22,0.0,0.0,0.0
4.2,24,6.043213733079799,0.7497222222222222,8.714800231481481
4.2,23,0.0,0.0,0.0
4.2,25,0.0,0.0,0.0
4.2,26,0.0,0.0,0.0
4.2,27,0.0,0.0,0.0
4.2,28,0.0,0.0,0.005208333333333351
4.2,29,0.0,0.0,0.0
4.2,30,0.0,0.0,0.0
4.2,31,0.0,0.0,0.0
4.2,33,0.0,0.0,0.0
4.2,32,0.0,0.0,0.0
4.2,35,0.0,0.0,0.0
4.2,34,0.0,0.0,0.0
4.2,36,0.0,0.0,0.0
4.2,37,0.0,0.0,0.0
4.2,38,0.0,0.0,0.0
4.2,39,0.0,0.0,0.0
4.2,40,0.0,0.0,0.0
4.2,41,0.0,0.0,0.0
4.2,42,0.18142361165291704,0.9566666666666666,0.21367622599451305
4.2,43,0.0,0.0,0.0
4.2,45,0.0,0.0,0.0
4.2,44,0.0,0.0,0.0
4.2,47,0.0,0.0,0.0
4.2,46,0.0,0.0,0.0
4.2,48,0.0048367594460704015,0.7875,0.006892283950617285
4.2,49,0.0,0.0,0.0
4.25,0,0.10184737913104255,0.3733333333333333,0.7569620284636489
4.25,1,0.0,0.0,0.0
4.25,2,0.0,0.0,0.0
4.25,3,0.0,0.0,0.006172839506172836
4.25,5,0.0,0.0,0.0
4.25,4,0.062446510794173314,0.3733333333333333,2.876416358024691
4.25,6,0.0,0.0,0.005208333333333339
4.25,7,0.0,0.0,4.930380657631324e-32
4.25,8,0.0,0.0,0.0
4.25,9,0.0,0.0,4.930380657631324e-32
4.25,10,0.0,0.0,0.0
4.25,11,0.0,0.0,0.00617283950617284
4.25,12,0.0,0.0,4.930380657631324e-32
4.25,13,0.0,0.0,0.0
4.25,15,0.0,0.0,7.888609052210118e-31
4.25,14,0.0,0.0,0.0
4.25,16,0.0,0.0,0.0
4.25,17,0.0,0.0,0.0
4.25,18,0.0,0.0,0.0
4.25,19,0.0,0.0,0.0
4.25,20,0.0,0.0,0.006172839506172836
4.25,21,0.0,0.0,0.0
4.25,22,0.0,0.0,0.0
4.25,23,0.0,0.0,0.01446759259259259
4.25,24,8.399951235521955,0.7497222222222222,12.062300231481482
4.25,25,0.0,0.0,0.0
4.25,26,0.0,0.0,0.0
4.25,27,0.0,0.0,0.0
4.25,28,0.0,0.0,0.005208333333333351
4.25,29,0.0,0.0,0.0
4.25,30,0.0,0.0,0.0
4.25,31,0.0,0.0,0.0
4.25,32,0.0,0.0,0.0
4.25,33,0.0,0.0,1.9721522630525295e-31
4.25,34,0.0,0.0,0.0
4.25,35,0.0,0.0,0.0
4.25,36,0.0,0.0,0.0
4.25,37,0.0,0.0,0.0
4.25,38,0.0,0.0,0.00617283950617284
4.25,39,0.0,0.0,0.0
4.25,40,0.0,0.0,0.0
