mu,seed,gamma,v_orbit,tau_var,eta_var
0.45,14,0.45202766000367356,12.824351369598768,0.5655555555555556,12.258795814043213
0.45,15,0.4493999240855282,11.96538794367284,0.6222222222222223,11.343165721450617
0.45,16,0.47099861712400914,30.819365046296298,0.8697222222222222,29.949642824074076
0.45,17,0.47643361262169776,6.342820814043211,0.38305555555555565,5.959765258487655
0.45,18,0.45966429261099284,10.582499517746912,0.3697222222222221,10.21277729552469
0.45,19,0.47947183798567306,13.045958024691355,0.6455555555555555,12.4004024691358
0.45,20,0.43616931555987626,20.860408950617284,0.28305555555555556,20.577353395061728
0.45,21,0.5022957631452419,13.316075906635803,0.24000000000000002,13.076075906635802
0.45,22,0.46926272658248425,9.554538406635801,0.3830555555555556,9.171482851080246
0.45,23,0.441288024063792,6.6527172839506195,0.5097222222222222,6.1429950617283975
0.45,24,0.4514434421749468,10.339853395061729,0.7288888888888888,9.61096450617284
0.45,25,0.47365693049443847,14.638481172839505,0.8430555555555556,13.79542561728395
0.45,26,0.4365843071551555,29.266682098765436,0.36972222222222223,28.896959876543214
0.45,27,0.45649012020455193,22.76561728395062,0.33888888888888885,22.42672839506173
0.45,28,0.48821131589612765,10.053415432098767,0.9122222222222222,9.141193209876544
0.45,29,0.452034781972449,9.985844425154323,0.4030555555555556,9.582788869598767
0.5,0,0.4300697650273335,20.088123070987653,0.5599999999999999,19.528123070987654
0.5,1,0.5226576428346532,10.902399691358026,0.40555555555555556,10.49684413580247
0.5,3,0.5006289013086705,23.60201820987654,0.6030555555555556,22.998962654320984
0.5,2,0.4896570394988776,11.673012654320987,0.6030555555555556,11.069957098765432
0.5,4,0.4605346384971144,8.74866288580247,0.49888888888888877,8.249773996913582
0.5,5,0.49869716739109154,11.903155381944446,0.46222222222222215,11.440933159722224
0.5,6,0.4845245423090978,28.40899257330247,0.3474999999999999,28.06149257330247
0.5,7,0.46781512195872355,5.615297145061728,0.6455555555555554,4.969741589506173
0.5,9,0.47300032135311443,21.871597222222224,0.4,21.471597222222226
0.5,8,0.4867547256732404,16.678771296296297,0.7833333333333333,15.895437962962964
0.5,10,0.4587788783572967,14.474581712962962,0.3830555555555556,14.091526157407406
0.5,11,0.524884730644216,18.155275848765434,0.5155555555555557,17.63972029320988
0.5,12,0.48463682923689766,4.921477141203704,0.516388888888889,4.405088252314815
0.5,13,0.5190892040052155,9.426336400462963,0.5163888888888889,8.909947511574074
0.5,14,0.5174811460619858,11.253556925154319,0.6363888888888888,10.617168036265431
0.5,15,0.507044909542808,10.39570987654321,0.4,9.99570987654321
0.5,16,0.5092179075238296,26.074891493055556,0.46222222222222215,25.612669270833333
0.5,17,0.5073851722049223,9.128601774691358,0.9030555555555556,8.225546219135802
0.5,18,0.49537737027407924,15.291932388117283,0.35555555555555557,14.936376832561727
0.5,19,0.5254197723557974,10.002816358024692,0.46222222222222226,9.54059413580247
0.5,20,0.4874458950098972,8.799882330246914,0.34750000000000003,8.452382330246914
0.5,21,0.5200045855321803,5.84870949074074,0.4875,5.36120949074074
0.5,22,0.4815698528920113,12.10397337962963,0.5599999999999999,11.54397337962963
0.5,23,0.4903300537314187,13.636455555555553,0.5066666666666667,13.129788888888887
0.5,24,0.4948982458970238,26.58287152777778,1.5830555555555559,24.999815972222223
0.5,25,0.5033106111983339,12.820054320987655,0.728888888888889,12.091165432098766
0.5,26,0.4923256485218074,16.895993441358026,0.36972222222222223,16.526271219135804
0.5,27,0.4838156863653008,9.550752295524694,0.7941666666666668,8.756585628858026
0.5,29,0.4827784866779442,12.738286554783949,0.4030555555555556,12.335230999228394
0.5,28,0.512450646503059,5.830954826817558,1.5555555555555556,4.275399271262002
